STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN020040900,"MADRAS MINAMBAKKAM, IN",10-10-2000,0.01,81,92,76
IN020040900,"MADRAS MINAMBAKKAM, IN",11-10-2000,0,82,94,76
IN020040900,"MADRAS MINAMBAKKAM, IN",12-10-2000,0.55,81,94,76
IN020040900,"MADRAS MINAMBAKKAM, IN",13-10-2000,0.08,81,86,76
IN020040900,"MADRAS MINAMBAKKAM, IN",14-10-2000,0,83,92,77
IN020040900,"MADRAS MINAMBAKKAM, IN",15-10-2000,,84,95,78
IN020040900,"MADRAS MINAMBAKKAM, IN",16-10-2000,,80,85,
IN020040900,"MADRAS MINAMBAKKAM, IN",17-10-2000,0.16,79,88,68
IN020040900,"MADRAS MINAMBAKKAM, IN",18-10-2000,0,80,89,76
IN020040900,"MADRAS MINAMBAKKAM, IN",19-10-2000,,81,90,77
IN020040900,"MADRAS MINAMBAKKAM, IN",20-10-2000,,81,88,78
IN020040900,"MADRAS MINAMBAKKAM, IN",21-10-2000,4.17,80,88,73
IN020040900,"MADRAS MINAMBAKKAM, IN",22-10-2000,0.03,83,91,77
IN020040900,"MADRAS MINAMBAKKAM, IN",23-10-2000,0,81,91,75
IN020040900,"MADRAS MINAMBAKKAM, IN",24-10-2000,,81,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",25-10-2000,,80,94,69
IN020040900,"MADRAS MINAMBAKKAM, IN",26-10-2000,,81,94,69
IN020040900,"MADRAS MINAMBAKKAM, IN",27-10-2000,,81,91,72
IN020040900,"MADRAS MINAMBAKKAM, IN",28-10-2000,,81,96,72
IN020040900,"MADRAS MINAMBAKKAM, IN",29-10-2000,,80,96,
IN020040900,"MADRAS MINAMBAKKAM, IN",30-10-2000,,82,93,70
IN020040900,"MADRAS MINAMBAKKAM, IN",31-10-2000,,80,91,74
IN020040900,"MADRAS MINAMBAKKAM, IN",01-11-2000,0,80,90,73
IN020040900,"MADRAS MINAMBAKKAM, IN",02-11-2000,0.02,78,84,76
IN020040900,"MADRAS MINAMBAKKAM, IN",03-11-2000,0.2,82,90,74
IN020040900,"MADRAS MINAMBAKKAM, IN",04-11-2000,0,83,90,
IN020040900,"MADRAS MINAMBAKKAM, IN",05-11-2000,0,81,91,
IN020040900,"MADRAS MINAMBAKKAM, IN",06-11-2000,,81,91,75
IN020040900,"MADRAS MINAMBAKKAM, IN",07-11-2000,,82,90,74
IN020040900,"MADRAS MINAMBAKKAM, IN",08-11-2000,,81,89,
IN020040900,"MADRAS MINAMBAKKAM, IN",09-11-2000,0.2,82,90,75
IN020040900,"MADRAS MINAMBAKKAM, IN",10-11-2000,0.04,81,90,74
IN020040900,"MADRAS MINAMBAKKAM, IN",11-11-2000,0.59,80,86,74
IN020040900,"MADRAS MINAMBAKKAM, IN",12-11-2000,0.24,80,88,74
IN020040900,"MADRAS MINAMBAKKAM, IN",13-11-2000,0.35,79,84,
IN020040900,"MADRAS MINAMBAKKAM, IN",14-11-2000,0,80,,71
IN020040900,"MADRAS MINAMBAKKAM, IN",15-11-2000,0.08,81,88,75
IN020040900,"MADRAS MINAMBAKKAM, IN",16-11-2000,0,79,87,72
IN020040900,"MADRAS MINAMBAKKAM, IN",17-11-2000,,80,88,73
IN020040900,"MADRAS MINAMBAKKAM, IN",18-11-2000,,79,86,75
IN020040900,"MADRAS MINAMBAKKAM, IN",19-11-2000,,80,,74
IN020040900,"MADRAS MINAMBAKKAM, IN",20-11-2000,,79,86,74
IN020040900,"MADRAS MINAMBAKKAM, IN",21-11-2000,,81,87,76
IN020040900,"MADRAS MINAMBAKKAM, IN",22-11-2000,0,80,87,
IN020040900,"MADRAS MINAMBAKKAM, IN",23-11-2000,0.55,81,87,76
IN020040900,"MADRAS MINAMBAKKAM, IN",24-11-2000,0.2,80,88,74
IN020040900,"MADRAS MINAMBAKKAM, IN",25-11-2000,0,80,88,
IN020040900,"MADRAS MINAMBAKKAM, IN",26-11-2000,,76,87,70
IN020040900,"MADRAS MINAMBAKKAM, IN",27-11-2000,,78,87,71
IN020040900,"MADRAS MINAMBAKKAM, IN",28-11-2000,,76,80,
IN020040900,"MADRAS MINAMBAKKAM, IN",29-11-2000,1.06,76,80,71
IN020040900,"MADRAS MINAMBAKKAM, IN",30-11-2000,1.26,80,88,72
IN020040900,"MADRAS MINAMBAKKAM, IN",01-12-2000,0.04,79,87,74
IN020040900,"MADRAS MINAMBAKKAM, IN",02-12-2000,0.12,81,87,74
IN020040900,"MADRAS MINAMBAKKAM, IN",03-12-2000,0.02,81,88,74
IN020040900,"MADRAS MINAMBAKKAM, IN",04-12-2000,0.71,76,81,75
IN020040900,"MADRAS MINAMBAKKAM, IN",05-12-2000,0.16,77,85,
IN020040900,"MADRAS MINAMBAKKAM, IN",06-12-2000,0,77,,69
